source_dataset,title,category,brand,price,currency,description
fashion_product_images_small,Turtle Check Men Navy Blue Shirt,Apparel / Topwear / Shirts,,,GBP,
fashion_product_images_small,Peter England Men Party Blue Jeans,Apparel / Bottomwear / Jeans,,,GBP,
fashion_product_images_small,Titan Women Silver Watch,Accessories / Watches / Watches,,,GBP,
fashion_product_images_small,Manchester United Men Solid Black Track Pants,Apparel / Bottomwear / Track Pants,,,GBP,
fashion_product_images_small,Puma Men Grey T-shirt,Apparel / Topwear / Tshirts,,,GBP,
fashion_product_images_small,Inkfruit Mens Chain Reaction T-shirt,Apparel / Topwear / Tshirts,,,GBP,
fashion_product_images_small,Fabindia Men Striped Green Shirt,Apparel / Topwear / Shirts,,,GBP,
fashion_product_images_small,Jealous 21 Women Purple Shirt,Apparel / Topwear / Shirts,,,GBP,
fashion_product_images_small,Puma Men Pack of 3 Socks,Accessories / Socks / Socks,,,GBP,
fashion_product_images_small,Skagen Men Black Watch,Accessories / Watches / Watches,,,GBP,
fashion_product_images_small,Puma Men Future Cat Remix SF Black Casual Shoes,Footwear / Shoes / Casual Shoes,,,GBP,
fashion_product_images_small,Fossil Women Black Huarache Weave Belt,Accessories / Belts / Belts,,,GBP,
fashion_product_images_small,Fila Men Cush Flex Black Slippers,Footwear / Flip Flops / Flip Flops,,,GBP,
fashion_product_images_small,Murcia Women Blue Handbag,Accessories / Bags / Handbags,,,GBP,
fashion_product_images_small,Ben 10 Boys Navy Blue Slippers,Footwear / Flip Flops / Flip Flops,,,GBP,
fashion_product_images_small,Reid & Taylor Men Check Purple Shirts,Apparel / Topwear / Shirts,,,GBP,
fashion_product_images_small,Police Men Black Dial Watch PL12889JVSB,Accessories / Watches / Watches,,,GBP,
fashion_product_images_small,Gini and Jony Girls Knit White Top,Apparel / Topwear / Tops,,,GBP,
fashion_product_images_small,Bwitch Beige Full-Coverage Bra BW335,Apparel / Innerwear / Bra,,,GBP,
fashion_product_images_small,Baggit Women Brown Handbag,Accessories / Bags / Handbags,,,GBP,
fashion_product_images_small,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Accessories / Watches / Watches,,,GBP,
fashion_product_images_small,ADIDAS Men Spry M Black Sandals,Footwear / Sandal / Sandals,,,GBP,
